user_id,premium_starts_at,premium_renewed_at,premium_expires_at,isPremiumUser,LastPaymentDate
1424,null,2024-06-26T16:43:43.000000+0000,2024-07-26T16:43:43.000000+0000,NO,2024-07-26T16:43:43.000000+0000
4335,null,null,2022-12-30T23:59:59.999999+0000,NO,2022-12-30T23:59:59.999999+0000
5436,null,2023-03-13T06:53:09.000000+0000,2023-03-13T06:58:09.000000+0000,NO,2023-03-13T06:58:09.000000+0000
34756,null,2024-12-30T00:10:33.000000+0000,2025-12-30T00:10:33.000000+0000,YES,2025-12-30T00:10:33.000000+0000
4352,null,2024-05-29T03:40:14.000000+0000,2025-05-29T03:40:14.000000+0000,NO,2025-05-29T03:40:14.000000+0000
4757,null,null,2022-12-30T23:59:59.999999+0000,NO,2022-12-30T23:59:59.999999+0000
4501,null,null,2022-12-19T23:59:59.999999+0000,NO,2022-12-19T23:59:59.999999+0000
1832,null,2022-12-26T01:47:05.000000+0000,2023-12-26T01:43:49.000000+0000,NO,2023-12-26T01:43:49.000000+0000
1801,null,2022-12-20T10:52:25.000000+0000,null,NO,null
1796,null,null,2022-12-30T23:59:59.999999+0000,NO,2022-12-30T23:59:59.999999+0000
4697,null,null,2022-12-30T23:59:59.999999+0000,NO,2022-12-30T23:59:59.999999+0000
1835,null,2023-02-24T07:56:56.000000+0000,2023-02-24T08:01:56.000000+0000,NO,2023-02-24T08:01:56.000000+0000
1804,null,null,null,NO,null
4775,null,null,2022-12-26T01:59:22.000000+0000,NO,2022-12-26T01:59:22.000000+0000
4774,null,null,2022-12-26T02:27:05.000000+0000,NO,2022-12-26T02:27:05.000000+0000
4781,null,2022-12-26T05:46:47.000000+0000,2023-01-28T03:46:54.000000+0000,NO,2023-01-28T03:46:54.000000+0000
4620,null,2024-10-30T12:25:25.000000+0000,2024-11-30T13:25:25.000000+0000,NO,2024-11-30T13:25:25.000000+0000
605,null,2022-12-23T10:01:23.000000+0000,2022-12-26T10:01:23.000000+0000,NO,2022-12-26T10:01:23.000000+0000
394,null,2022-12-23T11:04:53.000000+0000,2022-12-26T11:04:53.000000+0000,NO,2022-12-26T11:04:53.000000+0000
129,2025-12-03T04:56:36.803440+0000,2025-12-03T04:56:36.814823+0000,2026-12-02T23:59:59.999999+0000,YES,2026-12-02T23:59:59.999999+0000
618,null,2025-12-03T06:38:48.000000+0000,2026-01-03T06:38:48.000000+0000,YES,2026-01-03T06:38:48.000000+0000
4798,null,2023-01-28T09:51:11.000000+0000,2023-02-28T09:51:11.000000+0000,NO,2023-02-28T09:51:11.000000+0000
37012,null,2023-05-06T19:31:42.000000+0000,2024-05-06T19:31:42.000000+0000,NO,2024-05-06T19:31:42.000000+0000
1834,\N,\N,\N,NO,\N
4803,null,2022-12-26T16:44:27.000000+0000,2023-01-26T16:44:27.000000+0000,NO,2023-01-26T16:44:27.000000+0000
